c857995f9b7dc3d82f17544df2061581	ENCFF334ONA.fastq.gz	SLTM_K562_rep1_R1_reads.fastq.gz
b21e7e985cd128333d89428ccb7dcbb2	ENCFF470BUR.fastq.gz	SLTM_K562_rep2_R1_reads.fastq.gz
aa37a86329a1270b62913b6f00a0f018	ENCFF506XBB.fastq.gz	SLTM_K562_rep1_R2_reads.fastq.gz
90bfd81546257d6bf2ba5e0bbd458495	ENCFF896KIF.fastq.gz	SLTM_K562_rep2_R2_reads.fastq.gz
d44b503103cbdb5f791cd7f3be3ba42b	ENCFF077YYE.fastq.gz	SRSF7_K562_rep1_R1_reads.fastq.gz
56972d644fbe2a84c3fd4b2269245b7d	ENCFF789FCB.fastq.gz	SRSF7_K562_rep2_R1_reads.fastq.gz
1d2302f485e7f9d7d18ceaf58cea4fd3	ENCFF931PJS.fastq.gz	SRSF7_K562_rep2_R2_reads.fastq.gz
346ff3f8374a2517f67421d24131e2ce	ENCFF447CPA.fastq.gz	SRSF7_K562_rep1_R2_reads.fastq.gz
11aa10dbe1523e580cf8c2a3bd08b851	ENCFF109RNC.fastq.gz	LARP4_K562_rep2_R1_reads.fastq.gz
6662bee10717cf821d9c97a91c622f50	ENCFF984MPJ.fastq.gz	LARP4_K562_rep1_R1_reads.fastq.gz
86d7cd77f5ba0542a639f78031736b1d	ENCFF780ORI.fastq.gz	LARP4_K562_rep1_R2_reads.fastq.gz
0f3d167bce1b576a4a4d1946fd8424bb	ENCFF498JIR.fastq.gz	LARP4_K562_rep2_R2_reads.fastq.gz
6f98a9c511b3731c096d484731b903e8	ENCFF996LKZ.fastq.gz	BCCIP-eCLIP-mock-input_HepG2_rep1_R1_reads.fastq.gz
158e656ff82beafe9a5056606923bbb4	ENCFF371GVL.fastq.gz	BCCIP-eCLIP-mock-input_HepG2_rep1_R2_reads.fastq.gz
3ae985885e455815018f5c0e4cfb28e0	ENCFF895XZY.fastq.gz	HNRNPA1-eCLIP-mock-input_K562_rep1_R1_reads.fastq.gz
fb448a3b35f28e1750084aa3580c7dd2	ENCFF872NAM.fastq.gz	HNRNPA1-eCLIP-mock-input_K562_rep1_R2_reads.fastq.gz
a202de70b550b0af4da591f976066580	ENCFF647KKB.fastq.gz	PPIG_HepG2_rep1_R1_reads.fastq.gz
4e9b740aeb7920ee49a42a99952e3085	ENCFF477APU.fastq.gz	PPIG_HepG2_rep2_R1_reads.fastq.gz
55c617aba62279250e2666923470f119	ENCFF343FWV.fastq.gz	PPIG_HepG2_rep2_R2_reads.fastq.gz
27b9d68ea6a3346ce4396bf84635ae96	ENCFF193XUL.fastq.gz	PPIG_HepG2_rep1_R2_reads.fastq.gz
2a47936cdb8ff3b6ed8b896b77622ce2	ENCFF841ZMA.fastq.gz	NCBP2_HepG2_rep2_R1_reads.fastq.gz
d2673501da63db54dc2cccdf16ef8c73	ENCFF444ZHJ.fastq.gz	NCBP2_HepG2_rep2_R2_reads.fastq.gz
02934172a63438cf8e72b255722645b8	ENCFF731KNX.fastq.gz	NCBP2_HepG2_rep1_R1_reads.fastq.gz
